,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COUNTRY,ISO3,INFORM RISK,RISK CLASS,Rank,Lack of Reliability (*),HAZARD & EXPOSURE,Natural,Earthquake,River Flood,Tsunami,Tropical Cyclone,Coastal flood,Drought,Epidemic,Human,Projected Conflict Risk,Current Highly Violent Conflict Intensity,VULNERABILITY,Socio-Economic Vulnerability,Development & Deprivation,Inequality,Economic Dependency,Vulnerable Groups,Uprooted people,Health Conditions,Children U5,Recent Shocks,Food Security,Other Vulnerable Groups,LACK OF COPING CAPACITY,Institutional,DRR,Governance,Infrastructure,Communication,Physical infrastructure,Access to health care,Number of Missing Indicators,% of Missing Indicators,Countries in HVC,Recentness data (average years)
(a-z),(a-z),(0-10),(Very Low-Very High),(1-191),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),,(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-50),(0-100%),(Yes/No),()
Rwanda,RWA,4.2,Medium,62,-143.4,2.5,2.8,4.0,2.6,0.0,0.0,0.0,4.3,6.1,2.2,3.2,0.0,5.9,6.5,8.1,5.0,4.6,5.3,6.4,3.1,2.4,0.4,7.7,4.0,5.0,3.9,3.0,4.7,6.0,5.7,6.1,6.1,0,0%,,-26.88
Saint Kitts and Nevis,KNA,1.9,Very Low,166,-196.3,1.6,3.0,3.6,0.0,0.0,8.6,0.0,0.0,2.8,0.0,0.0,0.0,1.4,1.9,2.5,x,0.6,0.9,0.0,0.0,1.1,0.0,5.0,1.8,3.0,4.1,4.0,4.2,1.8,2.1,0.3,2.9,21,41%,,-37.55
Saint Lucia,LCA,2.8,Low,124,-162.8,1.9,3.5,4.4,0.0,0.0,8.0,2.6,0.5,4.8,0.0,0.0,0.0,3.0,4.5,3.5,5.9,5.0,1.2,0.0,0.0,1.3,1.5,5.0,2.2,4.0,5.1,5.2,4.9,2.8,2.5,0.8,5.2,11,22%,,-31.08
Saint Vincent and the Grenadines,VCT,2.6,Low,132,-185.0,1.8,3.3,4.8,0.0,0.0,7.8,1.8,0.5,4.1,0.0,0.0,0.0,3.0,4.7,3.0,5.2,7.4,0.8,0.0,0.2,1.1,3.4,1.4,1.6,3.4,4.2,x,4.2,2.4,2.3,0.8,4.1,17,33%,,-35.43
Samoa,WSM,3.0,Low,110,-167.6,1.7,3.2,4.4,0.0,4.2,6.3,0.0,0.5,4.2,0.0,0.0,0.0,3.7,5.7,4.6,4.5,8.9,1.0,0.0,4.9,1.1,0.0,1.2,2.0,4.1,4.4,4.6,4.1,3.7,2.8,2.1,6.3,11,22%,,-31.98
Sao Tome and Principe,STP,2.6,Low,132,-147.0,0.7,1.4,0.1,0.0,0.0,0.0,2.1,0.0,5.6,0.0,0.0,0.0,4.9,5.9,5.9,5.3,6.4,3.6,0.0,2.0,1.2,10.0,4.2,6.0,5.3,6.0,x,6.0,4.5,3.6,4.5,5.5,1,2%,,-27.61
Saudi Arabia,SAU,3.6,Medium,81,-208.0,6.2,3.4,1.8,4.8,0.0,0.0,4.7,4.9,5.6,8.0,2.0,8.0,2.2,1.1,0.5,3.3,0.0,3.1,5.0,0.1,0.7,0.0,1.1,0.5,3.3,4.5,x,4.5,1.8,1.1,3.2,1.1,10,20%,YES,-31.70
Senegal,SEN,4.1,Medium,65,-145.2,2.6,4.1,0.1,6.3,3.9,0.0,5.5,4.3,6.2,0.8,1.1,0.0,4.9,6.4,8.5,5.2,3.4,2.9,3.9,2.0,3.1,0.1,1.9,1.8,5.3,5.0,4.7,5.3,5.6,4.8,5.6,6.3,0,0%,,-27.22
Serbia,SRB,2.9,Low,116,-154.2,1.8,3.3,5.3,7.7,0.0,0.0,0.0,2.2,3.8,0.1,0.1,0.0,3.5,1.6,1.0,2.1,2.2,5.1,7.7,0.2,0.3,0.2,0.7,0.4,3.7,5.3,4.9,5.7,1.6,1.5,1.2,2.2,6,12%,,-29.21
Seychelles,SYC,1.5,Very Low,182,-158.9,1.2,2.2,0.1,0.0,7.8,0.0,0.0,0.0,2.8,0.0,0.0,0.0,1.0,1.5,2.0,1.8,0.1,0.4,0.0,0.1,1.0,0.0,2.0,0.8,2.6,3.7,4.3,3.1,1.4,1.0,0.8,2.5,10,20%,,-30.29
Sierra Leone,SLE,4.2,Medium,62,-143.0,2.1,3.7,0.1,5.8,2.9,0.0,4.7,0.6,7.7,0.1,0.2,0.0,5.7,7.1,8.8,5.6,5.1,3.8,2.0,6.4,5.4,0.1,6.9,5.2,6.4,5.2,3.5,6.9,7.4,7.3,8.2,6.8,0,0%,,-26.81
Singapore,SGP,0.7,Very Low,191,-165.6,0.6,1.1,0.1,0.0,0.0,0.0,1.9,0.0,4.6,0.0,0.0,0.0,0.5,0.1,0.0,0.5,0.0,0.9,1.1,0.4,0.2,0.0,1.7,0.6,1.1,1.2,1.2,1.1,0.9,1.1,0.0,1.5,12,24%,,-31.65
Slovakia,SVK,2.1,Very Low,157,-165.5,1.3,2.4,3.7,6.8,0.0,0.0,0.0,1.1,2.4,0.1,0.1,0.0,2.8,1.0,1.0,1.2,0.6,4.3,6.6,0.1,0.4,0.0,2.1,0.7,2.5,3.9,3.4,4.3,0.9,1.5,0.1,1.0,10,20%,,-31.52
Slovenia,SVN,1.6,Very Low,179,-162.9,1.7,3.2,5.9,5.6,3.5,0.0,3.0,0.6,1.5,0.0,0.0,0.0,1.4,0.2,0.0,0.5,0.2,2.4,3.9,0.1,0.2,0.2,1.6,0.5,1.6,2.2,0.9,3.5,0.9,1.3,0.1,1.4,9,18%,,-31.00
Solomon Islands,SLB,4.5,Medium,50,-161.3,3.2,5.4,7.1,0.0,7.8,3.5,6.8,2.9,6.0,0.1,0.1,0.0,4.5,5.9,6.7,3.0,7.2,2.6,1.7,5.3,2.5,0.0,5.2,3.5,6.5,6.5,6.6,6.3,6.4,5.0,7.8,6.4,9,18%,,-30.69
Somalia,SOM,8.5,Very High,2,-198.6,8.9,6.6,1.2,7.8,6.7,1.7,5.9,10.0,6.5,10.0,10.0,10.0,8.2,7.4,8.9,2.9,9.0,8.8,10.0,2.2,6.8,3.7,9.4,6.4,8.5,9.0,x,9.0,8.0,7.5,7.5,8.9,9,18%,YES,-30.25
South Africa,ZAF,4.5,Medium,50,-144.3,4.9,4.2,1.5,3.2,1.0,1.3,2.8,9.1,5.0,5.5,7.8,0.0,4.6,4.2,4.5,7.5,0.4,4.9,5.7,5.6,1.8,5.1,2.7,4.0,4.0,4.7,3.9,5.4,3.3,1.7,3.7,4.5,0,0%,,-27.05
South Sudan,SSD,8.5,Very High,2,-153.2,7.2,3.8,2.6,7.8,0.0,0.0,0.0,3.3,7.3,9.0,10.0,9.0,9.2,9.1,10.0,6.3,10.0,9.2,10.0,6.4,6.9,10.0,5.7,7.8,9.4,9.3,x,9.3,9.5,9.3,9.6,9.6,9,18%,YES,-29.18
Spain,ESP,2.3,Low,151,-163.2,2.3,3.8,2.9,6.4,4.6,0.0,4.9,3.6,2.9,0.4,0.5,0.0,2.9,0.5,0.0,1.7,0.1,4.7,7.3,0.2,0.2,0.0,1.1,0.4,1.8,2.9,2.2,3.6,0.5,1.3,0.0,0.3,9,18%,,-31.05
Sri Lanka,LKA,3.1,Low,104,-156.2,2.7,4.0,0.1,1.9,8.0,2.2,3.3,3.5,5.5,1.1,1.5,0.0,2.7,2.9,3.2,4.2,0.8,2.4,3.3,0.3,2.6,0.8,2.3,1.5,3.9,4.7,3.6,5.8,2.9,2.0,2.7,4.0,7,14%,,-29.64
Sudan,SDN,7.3,Very High,8,-141.5,7.2,3.8,0.1,8.6,0.0,0.0,0.8,3.9,6.6,9.0,10.0,9.0,7.9,6.6,8.5,4.9,4.4,8.8,10.0,1.6,5.8,10.0,3.2,6.5,6.7,6.5,4.9,8.1,6.9,6.1,8.3,6.4,0,0%,YES,-26.53
Suriname,SUR,3.0,Low,110,-158.9,1.8,3.3,0.1,8.6,0.0,0.0,1.6,1.1,5.6,0.1,0.1,0.0,3.0,3.6,3.7,5.7,1.3,2.4,3.0,1.0,1.4,1.1,3.2,1.7,5.1,6.2,x,6.2,3.7,1.8,3.7,5.7,7,14%,,-30.14
Sweden,SWE,1.9,Very Low,166,-174.0,1.4,2.5,0.1,6.3,0.0,0.0,5.8,0.6,1.8,0.1,0.2,0.0,3.1,0.2,0.0,0.7,0.1,5.3,8.0,0.1,0.2,0.0,1.4,0.4,1.5,2.1,2.5,1.7,0.9,1.7,0.9,0.2,13,25%,,-33.28
Switzerland,CHE,1.4,Very Low,184,-168.7,1.2,2.2,4.6,5.9,0.0,0.0,0.0,1.1,1.9,0.1,0.1,0.0,2.8,0.4,0.0,1.1,0.4,4.7,7.3,0.1,0.3,0.2,1.1,0.4,0.9,1.2,0.9,1.4,0.6,1.5,0.0,0.3,11,22%,,-32.18
Syria,SYR,7.2,Very High,9,-195.4,8.5,5.1,7.2,6.3,2.4,0.0,2.1,7.8,6.0,10.0,10.0,10.0,7.8,6.5,6.5,6.4,6.7,8.8,10.0,0.5,2.0,10.0,7.0,6.5,5.6,6.6,4.6,8.6,4.4,4.1,2.9,6.3,9,18%,YES,-29.76
Tajikistan,TJK,4.4,Medium,54,-150.0,4.8,5.0,8.1,6.6,0.0,0.0,0.0,7.6,6.1,4.6,6.6,0.0,3.7,4.6,4.9,3.1,5.4,2.7,3.7,1.5,2.1,0.1,2.7,1.6,4.9,5.8,4.6,6.9,3.8,3.0,4.4,3.9,5,10%,,-28.38
Tanzania,TZA,5.1,High,33,-144.9,4.1,4.3,4.4,4.2,3.1,0.7,3.2,5.5,7.0,3.9,5.5,0.0,5.5,5.9,8.2,5.7,1.5,5.1,6.1,4.9,3.2,0.8,5.8,3.9,5.9,4.9,3.5,6.3,6.8,5.5,8.3,6.6,0,0%,,-27.16
Thailand,THA,4.4,Medium,54,-153.1,5.6,5.8,1.7,9.8,5.8,1.6,5.5,5.2,5.4,5.4,7.7,0.0,3.8,1.8,1.6,3.5,0.3,5.3,7.6,1.0,1.2,1.3,2.2,1.4,3.9,5.1,4.7,5.5,2.4,1.1,1.9,4.1,4,8%,,-28.90
Timor-Leste,TLS,3.6,Medium,81,-153.9,1.8,3.2,5.7,0.0,3.9,0.5,3.3,1.5,5.7,0.1,0.1,0.0,4.6,6.2,7.6,3.0,6.4,2.5,0.0,3.3,5.5,2.7,5.9,4.5,5.7,6.3,6.3,6.3,5.0,4.2,5.3,5.6,5,10%,,-29.10
Togo,TGO,4.3,Medium,58,-142.8,2.1,2.4,0.1,3.0,0.0,0.0,0.7,2.1,7.3,1.7,2.4,0.0,4.9,6.1,7.8,6.1,2.5,3.5,3.5,4.0,4.1,0.1,4.6,3.4,7.5,8.0,9.2,6.7,6.9,5.9,7.7,7.1,0,0%,,-26.77
Tonga,TON,3.3,Medium,94,-164.8,2.1,3.8,7.0,0.0,5.7,5.6,0.0,0.5,4.3,0.0,0.0,0.0,4.3,5.1,2.5,5.3,10.0,3.5,0.0,2.0,0.6,10.0,4.0,5.9,4.0,5.1,5.8,4.4,2.6,2.5,0.4,5.0,12,24%,,-31.49
Trinidad and Tobago,TTO,2.8,Low,124,-160.5,2.0,3.5,5.8,0.0,0.0,5.7,2.7,2.4,5.2,0.1,0.1,0.0,3.4,2.0,1.6,4.6,0.3,4.5,6.2,0.5,1.2,3.3,3.7,2.3,3.2,4.8,4.4,5.2,1.1,1.5,0.3,1.5,9,18%,,-30.55
Tunisia,TUN,3.0,Low,110,-146.3,2.6,4.1,5.4,3.7,5.9,0.0,6.5,2.4,2.6,0.8,1.2,0.0,2.2,2.5,2.6,2.7,2.2,1.8,3.1,0.3,0.9,0.0,0.2,0.4,4.7,6.1,6.4,5.7,2.8,2.3,2.4,3.8,1,2%,,-27.49
Turkey,TUR,4.8,Medium,40,-159.8,6.0,5.3,9.3,6.0,5.0,0.0,4.6,0.6,6.0,6.6,9.4,0.0,5.6,1.7,1.2,3.9,0.6,7.9,9.4,0.1,0.5,10.0,0.0,4.9,3.2,4.0,2.1,5.8,2.3,1.9,1.9,3.0,8,16%,,-30.35
Turkmenistan,TKM,2.9,Low,116,-157.6,2.4,4.1,3.0,8.3,0.0,0.0,4.3,3.8,5.4,0.3,0.4,0.0,1.7,1.5,1.7,2.4,0.1,1.9,2.6,0.3,2.0,0.0,2.2,1.2,5.8,7.5,x,7.5,3.2,3.3,3.3,3.0,7,14%,,-29.91
Tuvalu,TUV,3.0,Low,110,-184.4,1.3,2.4,0.1,0.0,5.8,0.2,0.0,4.4,3.8,0.0,0.0,0.0,4.7,4.9,4.4,3.5,7.1,4.4,0.0,7.7,1.1,10.0,4.0,7.1,4.6,6.0,x,6.0,2.8,3.0,0.6,4.9,19,37%,,-35.32
Uganda,UGA,7.0,Very High,12,-146.3,7.2,3.8,3.7,3.9,0.0,0.0,0.0,6.3,8.0,9.0,8.3,9.0,6.9,6.3,8.4,5.8,2.7,7.4,8.8,6.5,2.5,0.7,7.7,5.0,6.9,6.8,x,6.8,7.0,6.4,8.5,6.0,3,6%,YES,-27.58
Ukraine,UKR,5.1,High,33,-159.6,5.4,3.1,2.0,6.2,0.0,0.0,5.1,2.4,4.1,7.0,10.0,0.0,5.6,2.1,1.3,1.5,4.3,7.8,10.0,0.9,0.6,0.0,2.2,1.0,4.5,6.3,x,6.3,2.0,1.4,1.4,3.2,9,18%,,-30.37
United Arab Emirates,ARE,1.7,Very Low,175,-166.3,2.5,4.4,0.1,0.6,6.0,0.4,8.4,5.0,5.4,0.1,0.2,0.0,1.0,0.1,0.0,0.5,0.0,1.9,3.1,0.1,0.5,0.0,1.3,0.5,1.8,2.5,2.1,2.8,1.0,0.2,1.8,1.0,10,20%,,-31.68
United Kingdom,GBR,2.1,Very Low,157,-170.7,2.1,3.4,0.1,5.7,1.9,0.0,8.3,1.4,1.8,0.6,0.9,0.0,2.7,0.4,0.0,1.6,0.0,4.5,7.1,0.1,0.3,0.0,0.8,0.3,1.6,2.4,2.1,2.6,0.8,1.5,0.0,1.0,12,24%,,-32.61
United States of America,USA,3.2,Medium,97,-165.4,4.8,6.9,7.7,7.5,7.2,7.7,8.4,3.6,4.1,1.7,2.4,0.0,3.0,0.8,0.0,3.1,0.0,4.8,7.5,0.3,0.3,0.0,0.0,0.2,2.2,2.9,3.0,2.7,1.4,1.9,0.9,1.3,10,20%,,-31.51
Uruguay,URY,2.1,Very Low,157,-162.7,1.1,2.1,0.1,3.9,0.0,0.0,3.8,2.7,3.0,0.0,0.0,0.0,3.1,1.8,1.8,3.5,0.1,4.2,5.7,0.7,0.4,6.0,0.8,2.4,2.6,3.5,4.0,3.0,1.6,1.1,2.4,1.2,9,18%,,-30.95
Uzbekistan,UZB,3.2,Medium,97,-156.6,3.0,4.9,7.0,8.3,0.0,0.0,0.0,6.6,5.9,0.6,0.8,0.0,3.0,3.2,3.2,3.0,3.2,2.7,4.4,0.4,0.8,0.0,0.8,0.5,3.6,4.4,2.6,6.2,2.6,1.8,2.9,3.2,7,14%,,-29.72
Vanuatu,VUT,4.2,Medium,62,-164.7,2.9,5.0,6.2,0.0,7.0,6.4,4.8,4.3,4.3,0.0,0.0,0.0,4.5,5.3,5.9,1.8,7.5,3.6,0.0,3.5,2.2,10.0,2.4,6.0,5.5,5.6,5.4,5.7,5.4,3.7,5.5,7.1,10,20%,,-31.38
Venezuela,VEN,4.7,Medium,45,-164.9,5.3,5.9,8.2,5.7,5.4,5.6,6.7,1.9,5.8,4.6,6.6,0.0,3.8,4.1,4.2,6.6,1.5,3.4,4.1,1.3,1.3,1.5,5.5,2.6,5.0,5.6,2.5,8.7,4.4,2.9,3.7,6.5,11,22%,,-31.46
Viet Nam,VNM,3.7,Medium,78,-152.7,4.6,7.3,3.5,9.9,5.9,5.9,9.6,3.4,6.9,0.1,0.2,0.0,2.7,2.8,3.6,3.4,0.7,2.5,3.6,1.1,2.1,0.4,1.3,1.2,4.0,4.7,4.2,5.1,3.3,1.7,3.1,5.1,4,8%,,-28.83
Yemen,YEM,7.5,Very High,7,-185.9,6.5,4.3,1.7,6.0,3.6,3.5,4.7,2.2,7.0,8.0,10.0,8.0,8.2,7.7,8.9,6.5,6.3,8.6,10.0,1.3,6.9,1.0,8.4,5.3,7.9,8.8,8.5,9.0,6.7,5.9,7.6,6.6,6,12%,YES,-28.19
Zambia,ZMB,3.9,Medium,74,-144.2,1.8,3.1,2.4,4.8,0.0,0.0,0.0,4.9,6.5,0.3,0.4,0.0,5.9,6.4,7.9,7.6,2.0,5.3,5.1,7.0,3.5,2.8,7.4,5.5,5.7,5.1,3.5,6.7,6.3,5.2,8.1,5.7,1,2%,,-27.08
Zimbabwe,ZWE,4.1,Medium,65,-143.2,2.3,3.9,1.8,3.6,0.0,0.0,0.0,9.4,4.9,0.4,0.6,0.0,5.3,5.9,6.9,6.7,2.9,4.6,4.0,4.7,3.0,0.3,9.0,5.2,5.8,5.1,2.6,7.6,6.4,4.9,7.8,6.5,1,2%,,-26.91
