,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COUNTRY,ISO3,INFORM RISK,RISK CLASS,Rank,Lack of Reliability (*),HAZARD & EXPOSURE,Natural,Earthquake,River Flood,Tsunami,Tropical Cyclone,Coastal flood,Drought,Epidemic,Human,Projected Conflict Risk,Current Highly Violent Conflict Intensity,VULNERABILITY,Socio-Economic Vulnerability,Development & Deprivation,Inequality,Economic Dependency,Vulnerable Groups,Uprooted people,Health Conditions,Children U5,Recent Shocks,Food Security,Other Vulnerable Groups,LACK OF COPING CAPACITY,Institutional,DRR,Governance,Infrastructure,Communication,Physical infrastructure,Access to health care,Number of Missing Indicators,% of Missing Indicators,Countries in HVC,Recentness data (average years)
(a-z),(a-z),(0-10),(Very Low-Very High),(1-191),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),,(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-50),(0-100%),(Yes/No),()
Burundi,BDI,5.6,High,26,-142.3,4.1,3.0,4.5,2.5,0.0,0.0,0.0,4.0,6.9,5.0,7.2,0.0,6.4,7.2,9.6,5.1,4.3,5.4,6.2,3.3,5.1,0.1,7.3,4.4,6.7,6.3,4.6,8.0,7.1,7.6,7.1,6.7,2,4%,,-26.78
Cabo Verde,CPV,2.4,Low,143,-165.9,0.9,1.6,0.1,0.0,0.0,0.0,0.0,4.9,4.6,0.1,0.1,0.0,3.9,5.2,4.8,4.6,6.5,2.2,1.1,1.2,1.0,3.8,5.5,3.1,3.7,4.0,3.4,4.5,3.4,2.6,2.9,4.7,10,20%,,-31.60
Cambodia,KHM,4.3,Medium,58,-152.4,2.7,4.6,0.1,8.7,2.9,1.8,3.8,3.9,6.5,0.3,0.4,0.0,4.8,5.6,6.5,6.1,3.3,3.9,5.5,2.3,2.8,0.6,1.8,1.9,6.0,6.8,6.8,6.7,5.0,3.3,5.8,5.8,4,8%,,-28.78
Cameroon,CMR,6.6,High,19,-142.1,7.2,3.8,0.1,6.6,0.0,0.0,2.6,4.2,7.9,9.0,9.7,9.0,6.8,5.9,7.8,6.5,1.5,7.5,9.3,4.5,3.9,4.5,2.0,3.8,5.9,4.9,2.6,7.1,6.7,4.9,7.5,7.8,0,0%,YES,-26.64
Canada,CAN,2.4,Low,143,-173.3,2.5,4.3,4.7,7.1,5.7,2.3,5.4,1.4,1.6,0.1,0.1,0.0,2.4,0.4,0.0,1.4,0.0,4.1,6.6,0.1,0.4,0.1,0.3,0.2,2.4,2.6,3.0,2.2,2.2,2.1,3.0,1.5,13,25%,,-33.15
Central African Republic,CAF,8.7,Very High,1,-189.9,8.1,3.2,0.1,6.0,0.0,0.0,0.0,2.2,8.2,10.0,9.8,10.0,9.1,8.9,9.9,9.0,6.7,9.2,9.5,8.1,6.3,10.0,9.4,8.8,8.8,8.0,x,8.0,9.4,8.8,9.7,9.7,6,12%,YES,-28.78
Chad,TCD,7.8,Very High,5,-148.8,7.1,3.6,0.1,8.1,0.0,0.0,0.0,3.8,7.0,9.0,9.8,9.0,7.8,7.1,10.0,5.9,2.6,8.3,9.1,3.4,6.2,9.2,7.6,7.1,8.7,8.0,x,8.0,9.2,8.6,9.9,9.2,3,6%,YES,-28.04
Chile,CHL,3.2,Medium,97,-163.1,3.3,5.5,9.6,5.5,8.6,0.0,2.7,0.3,2.5,0.1,0.2,0.0,3.6,1.4,0.9,3.8,0.1,5.3,7.9,0.5,0.3,0.2,1.6,0.7,2.7,3.4,3.2,3.5,1.9,1.2,2.7,1.9,9,18%,,-31.03
China,CHN,3.0,Low,110,-162.2,5.5,7.8,6.7,9.3,9.0,7.8,9.0,4.6,5.5,1.7,2.4,0.0,1.6,2.6,3.6,3.0,0.0,0.4,0.1,0.3,0.5,0.6,0.9,0.6,3.2,3.5,2.5,4.4,2.8,1.8,3.6,2.9,9,18%,,-30.86
Colombia,COL,5.3,High,29,-149.9,6.7,6.3,8.8,6.9,8.1,4.0,6.2,1.4,5.4,7.0,9.7,7.0,6.2,3.9,4.0,6.2,1.2,7.7,10.0,0.7,0.9,0.3,1.5,0.9,3.5,4.3,3.0,5.6,2.7,1.6,3.4,3.2,4,8%,YES,-28.30
