,COUNTRY,ISO3,INFORM RISK,RISK CLASS,Rank,Lack of Reliability (*),HAZARD & EXPOSURE,Natural,Earthquake,River Flood,Tsunami,Tropical Cyclone,Coastal flood,Drought,Epidemic,Human,Projected Conflict Risk,Current Highly Violent Conflict Intensity,VULNERABILITY,Socio-Economic Vulnerability,Development & Deprivation,Inequality,Economic Dependency,Vulnerable Groups,Uprooted people,Health Conditions,Children U5,Recent Shocks,Food Security,Other Vulnerable Groups,LACK OF COPING CAPACITY,Institutional,DRR,Governance,Infrastructure,Communication,Physical infrastructure,Access to health care,Number of Missing Indicators,% of Missing Indicators,Recentness data (average years),Countries in HVC = _NO,Countries in HVC = _YES
15,Barbados,BRB,2.0,Very Low,164.0,-163.3,2.2,3.9,5.3,0.0,3.7,8.1,1.5,0.5,4.3,0.0,0.0,0.0,1.5,2.4,2.8,3.6,0.2,0.4,0.0,0.6,0.9,0.4,1.4,0.8,2.5,3.2,2.7,3.7,1.8,1.5,0.2,3.6,10.0,0.2,-31.13,1,0
16,Belarus,BLR,1.8,Very Low,172.0,-161.1,0.9,1.7,0.1,5.8,0.0,0.0,0.0,1.6,2.5,0.1,0.2,0.0,2.0,1.3,1.8,0.7,0.7,2.6,4.4,0.5,0.2,0.0,1.0,0.4,3.0,4.6,2.8,6.3,1.0,1.3,0.3,1.5,8.0,0.16,-30.62,1,0
17,Belgium,BEL,2.1,Very Low,157.0,-169.9,1.9,3.4,2.9,6.2,0.0,0.0,7.7,1.1,1.9,0.2,0.3,0.0,2.6,0.2,0.0,0.5,0.4,4.4,7.0,0.1,0.3,0.2,0.0,0.2,1.8,2.7,4.227814569536424,2.7,0.9,1.9,0.0,0.8,12.0,0.24,-32.46,1,0
18,Belize,BLZ,3.6,Medium,81.0,-162.6,2.1,3.7,2.0,2.2,3.0,5.0,6.0,2.7,4.2,0.1,0.1,0.0,4.4,4.5,4.5,4.9,3.9,4.3,3.0,0.7,1.0,10.0,1.8,5.4,5.0,6.0,4.227814569536424,6.0,3.9,3.6,3.0,5.2,9.0,0.18,-30.94,1,0
19,Benin,BEN,4.3,Medium,58.0,-146.8,2.5,3.1,0.1,6.6,0.0,0.0,1.9,0.0,7.6,1.8,2.6,0.0,4.8,6.3,8.7,5.6,2.2,2.8,2.3,4.2,5.1,0.3,2.4,3.2,6.6,5.6,5.5,5.6,7.4,6.6,8.3,7.4,1.0,0.02,-27.57,1,0
20,Bhutan,BTN,2.8,Low,124.0,-150.1,1.5,2.8,6.8,4.2,0.0,0.0,0.0,0.0,5.2,0.1,0.1,0.0,3.7,5.6,6.9,4.3,4.4,1.2,0.0,1.5,2.5,0.0,4.4,2.2,4.0,3.9,4.5,3.3,4.0,3.0,4.3,4.7,6.0,0.12,-28.43,1,0
21,Bolivia,BOL,3.6,Medium,81.0,-153.5,2.4,4.2,7.1,5.5,0.0,0.0,0.0,6.8,5.3,0.2,0.3,0.0,3.7,4.0,5.1,4.8,1.1,3.4,3.6,0.7,1.4,3.7,5.5,3.1,5.3,6.2,5.6,6.7,4.3,2.5,4.8,5.7,5.0,0.1,-29.03,1,0
22,Bosnia and Herzegovina,BIH,3.1,Low,104.0,-159.8,1.5,2.8,6.0,5.9,0.3,0.0,0.0,2.5,2.1,0.1,0.1,0.0,3.8,3.0,2.9,1.9,4.3,4.6,6.9,0.3,0.4,2.3,1.0,1.0,5.0,6.9,4.227814569536424,6.9,2.2,1.8,1.3,3.5,9.0,0.18,-30.41,1,0
23,Botswana,BWA,2.6,Low,132.0,-147.2,1.1,2.0,0.1,3.6,0.0,0.0,0.0,5.0,3.7,0.1,0.1,0.0,3.7,4.7,5.7,6.7,0.6,2.5,1.2,5.1,2.7,0.0,5.8,3.7,4.5,4.9,5.6,4.2,4.0,2.5,4.4,5.2,2.0,0.04,-27.7,1,0
24,Brazil,BRA,4.6,Medium,47.0,-155.9,5.7,4.0,0.5,7.7,0.0,0.0,5.0,4.5,6.0,7.0,10.0,0.0,3.9,3.4,3.7,6.1,0.1,4.3,6.6,0.7,0.9,0.3,1.1,0.8,4.3,5.2,4.3,6.1,3.2,2.1,3.4,4.1,6.0,0.12,-29.52,1,0
